stateId,year,hdd
HI,2010,0
HI,2009,0
HI,2008,0
HI,2007,0
HI,2006,0
HI,2005,0
HI,2004,0
HI,2003,0
HI,2002,0
HI,2001,0
HI,2000,0
HI,1999,0
HI,1998,0
HI,1997,0
HI,1996,0
HI,1995,0
HI,1994,0
HI,1993,0
HI,1992,0
HI,1991,0
HI,1990,0
HI,1989,0
HI,1988,0
HI,1987,0
HI,1986,0
HI,1985,0
HI,1984,0
HI,1983,0
HI,1982,0
HI,1981,1
HI,1980,0
HI,1979,0
HI,1978,0
HI,1977,0
HI,1976,0
HI,1975,0
HI,1974,0
HI,1973,0
HI,1972,2
HI,1971,0
HI,1970,0
HI,1969,3
HI,1968,0
HI,1967,0
HI,1966,0
HI,1965,0
HI,1964,0
HI,1963,0
HI,1962,0
HI,1961,0
HI,1960,0
IA,2022,7209
IA,2021,6352
IA,2020,6583
IA,2019,7348
IA,2018,7259
IA,2017,6228
IA,2016,6089
IA,2015,6445
IA,2014,7744
IA,2013,7407
IA,2012,5728
IA,2011,6821
IA,2010,6960
IA,2009,7171
IA,2008,7591
IA,2007,6744
IA,2006,6093
IA,2005,6532
IA,2004,6545
IA,2003,6920
IA,2002,6600
IA,2001,6531
IA,2000,6716
IA,1999,6370
IA,1998,5983
IA,1997,7172
IA,1996,7747
IA,1995,7271
IA,1994,6999
IA,1993,7546
IA,1992,6686
IA,1991,6829
IA,1990,6376
IA,1989,7373
IA,1988,7015
IA,1987,5980
IA,1986,6747
IA,1985,7550
IA,1984,6984
IA,1983,7268
IA,1982,7496
IA,1981,6542
IA,1980,7085
IA,1979,7844
IA,1978,7890
IA,1977,6976
IA,1976,7198
IA,1975,7148
IA,1974,6981
IA,1973,6652
IA,1972,7735
IA,1971,7103
IA,1970,7330
IA,1969,7526
IA,1968,6980
IA,1967,7141
IA,1966,7399
IA,1965,7253
IA,1964,6741
IA,1963,7184
IA,1962,7419
IA,1961,7243
IA,1960,7521
ID,2022,7280
ID,2021,6479
ID,2020,6661
ID,2019,7132
ID,2018,6646
ID,2017,6985
ID,2016,6429
ID,2015,6103
ID,2014,6491
ID,2013,7187
ID,2012,6494
ID,2011,7401
ID,2010,6933
ID,2009,7270
ID,2008,7339
ID,2007,6706
ID,2006,6797
ID,2005,7008
ID,2004,6736
ID,2003,6421
ID,2002,7158
ID,2001,6851
ID,2000,6902
ID,1999,6875
ID,1998,6727
ID,1997,6930
ID,1996,7054
ID,1995,6770
ID,1994,6799
ID,1993,7732
ID,1992,6439
ID,1991,7137
ID,1990,7013
ID,1989,7348
